Year,Position,Amateur Team,Games,Points,Goalie Wins,Score,Amateur League
2011,Forward,Frolunda HC (Sweden),11.0,1.0,,12.0,SHL
2011,Forward,Karpat (Finland),167.0,27.0,,194.0,SM-liiga
2011,Forward,VIK Hockey Ungdom Jr. (Sweden Jr.),533.0,304.0,,837.0,J20 Nationell
2011,Defence,London Knights (OHL),210.0,38.0,,248.0,OHL
2011,Defence,Soo Greyhounds (OHL),44.0,12.0,,56.0,OHL
2011,Forward,Oshawa Generals (OHL),41.0,7.0,,48.0,OHL
2011,Defence,Portland Winterhawks (WHL),30.0,5.0,,35.0,WHL
2011,Forward,Krasnaya Armiya Moskva (Russia Jr.),562.0,616.0,,1178.0,MHL
2011,Forward,Ottawa 67's (OHL),128.0,38.0,,166.0,OHL
2011,Defence,Guelph Storm (OHL),13.0,0.0,,13.0,OHL
2011,Forward,Saginaw Spirit (OHL),555.0,378.0,,933.0,OHL
2011,Forward,Mississauga St. Michael's Majors (OHL),64.0,12.0,,76.0,OHL
2011,Forward,Notre Dame (CCHA),21.0,1.0,,22.0,NCAA
2011,Forward,Swift Current Broncos (WHL),539.0,168.0,,707.0,WHL
2011,Forward,Soo Greyhounds (OHL),444.0,138.0,,582.0,OHL
2011,Defence,USNDT (USA),2.0,1.0,,3.0,USDP
2011,Forward,Edina HS (High-MN),29.0,3.0,,32.0,High School
2011,Defence,Edmonton Oil Kings (WHL),4.0,0.0,,4.0,WHL
2011,Forward,Indiana Ice (USHL),382.0,159.0,,541.0,USHL
2011,Forward,Cape Breton Screaming Eagles (QMJHL),232.0,39.0,,271.0,QMJHL
2011,Forward,Soo Greyhounds (OHL),12.0,0.0,,12.0,OHL
2011,Defence,Linkoping HC (Sweden),170.0,23.0,,193.0,SHL
2011,Forward,Oshawa Generals (OHL),185.0,26.0,,211.0,OHL
2011,Forward,Denver (WCHA),299.0,59.0,,358.0,
2011,Defence,Green Bay Gamblers (USHL),46.0,6.0,,52.0,USHL
2011,Forward,Peterborough Petes (OHL),106.0,28.0,,134.0,OHL
2011,Forward,Sudbury Wolves (OHL),214.0,77.0,,291.0,OHL
2011,Defence,Shawinigan Cataractes (QMJHL),1.0,0.0,,1.0,QMJHL
2011,Goalie,Owen Sound Attack (OHL),162.0,2.0,90.0,164.0,OHL
2011,Forward,Quebec Remparts (QMJHL),9.0,0.0,,9.0,QMJHL
2011,Forward,Eden Priarie HS (High-MN),61.0,7.0,,68.0,High School
2011,Defence,North Dakota (WCHA),3.0,0.0,,3.0,
2011,Defence,USNDT (USA),19.0,0.0,,19.0,USDP
2011,Forward,Gatineau Olympiques (QMJHL),566.0,251.0,,817.0,QMJHL
2011,Defence,Shattuck-St. Mary's School (High-MN),329.0,97.0,,426.0,High School
2011,Forward,USNDT (USA),133.0,42.0,,175.0,USDP
2011,Forward,Academy of Holy Angels (High-MN),13.0,0.0,,13.0,High School
2011,Forward,HC Ambri-Piotta (Swiss),24.0,7.0,,31.0,NL
2011,Forward,Dubuque Fighting Saints (USHL),602.0,609.0,,1211.0,USHL
2011,Forward,Wisconsin (WCHA),17.0,3.0,,20.0,
2011,Forward,Kitchener Rangers (OHL),478.0,145.0,,623.0,OHL
2011,Forward,Indiana Ice (USHL),7.0,1.0,,8.0,USHL
2011,Forward,Red Deer Rebels (WHL),10.0,1.0,,11.0,WHL
2011,Defence,Djurgardens IF (Sweden),170.0,28.0,,198.0,SHL
2011,Forward,USNDT (USA),38.0,4.0,,42.0,USDP
2011,Defence,Eden Priarie HS (High-MN),148.0,15.0,,163.0,High School
2011,Forward,Indiana Ice (USHL),347.0,98.0,,445.0,USHL
2011,Defence,Saskatoon Blades (WHL),13.0,5.0,,18.0,WHL
2011,Forward,Owen Sound Attack (OHL),544.0,247.0,,791.0,OHL
2011,Forward,Skovde IK (Sweden-3),6.0,0.0,,6.0,
2011,Forward,Spokane Chiefs (WHL),2.0,0.0,,2.0,WHL
2011,Defence,Belye Medvedi Chelyabinsk (Russia Jr.),170.0,37.0,,207.0,MHL
2011,Defence,Sudbury Wolves (OHL),76.0,8.0,,84.0,OHL
2011,Defence,Milton Academy (High-MA),33.0,3.0,,36.0,High School
2011,Forward,Soo Greyhounds (OHL),5.0,1.0,,6.0,OHL
2011,Goalie,Portage (MJHL),1.0,0.0,0.0,1.0,
2011,Forward,HC Ceske Budejovice Jr. (Czech Jr.),162.0,27.0,,189.0,Tipsport Extraliga
2011,Defence,Salmon Arm (BCHL),475.0,120.0,,595.0,BCHL
2011,Goalie,Edmonton Oil Kings (WHL),106.0,1.0,42.0,107.0,WHL
2011,Goalie,Kootenay Ice (WHL),7.0,0.0,1.0,7.0,WHL
2011,Forward,Western Michigan (CCHA),8.0,0.0,,8.0,NCAA
2011,Forward,Sioux City Musketeers (USHL),93.0,13.0,,106.0,USHL
2011,Forward,Brainerd HS (High-MN),243.0,71.0,,314.0,High School
2011,Forward,USNDT (USA),198.0,76.0,,274.0,USDP
2011,Goalie,Green Bay Gamblers (USHL),1.0,0.0,0.0,1.0,USHL
2011,Defence,Mississauga St. Michael's Majors (OHL),397.0,86.0,,483.0,OHL
2011,Forward,KalPa (Finland),134.0,23.0,,157.0,SM-liiga
2011,Goalie,MODO Hockey Jr. (Sweden Jr.),102.0,1.0,37.0,103.0,J20 Nationell
2011,Goalie,Guelph Storm (OHL),40.0,0.0,15.0,40.0,OHL
2011,Forward,Ottawa 67's (OHL),84.0,15.0,,99.0,OHL
2011,Forward,Lethbridge Hurricanes (WHL),12.0,0.0,,12.0,WHL
2011,Forward,St. John's Prep (High-MA),138.0,52.0,,190.0,High School
2011,Defence,Ilves (Finland),150.0,28.0,,178.0,SM-liiga
2011,Forward,Green Bay Gamblers (USHL),2.0,0.0,,2.0,USHL
2011,Forward,Pembroke (CHL T1),83.0,21.0,,104.0,
2011,Forward,Lincoln Stars (USHL),404.0,188.0,,592.0,USHL
2011,Defence,CSKA Moskva (Russia),121.0,21.0,,142.0,KHL
2011,Forward,Drummondville Voltigeurs (QMJHL),628.0,423.0,,1051.0,QMJHL
2011,Forward,Georgetown (OJHL),193.0,51.0,,244.0,
2010,Forward,Windsor Spitfires (OHL),761.0,657.0,,1418.0,OHL
2010,Forward,Plymouth Whalers (OHL),825.0,686.0,,1511.0,OHL
2010,Defence,Kingston Frontenacs (OHL),641.0,94.0,,735.0,OHL
2010,Forward,Portland Winterhawks (WHL),787.0,527.0,,1314.0,WHL
2010,Forward,Portland Winterhawks (WHL),732.0,368.0,,1100.0,WHL
2010,Forward,Prince George Cougars (WHL),536.0,195.0,,731.0,WHL
2010,Forward,Kitchener Rangers (OHL),853.0,542.0,,1395.0,OHL
2010,Forward,Barrie Colts (OHL),348.0,101.0,,449.0,OHL
2010,Forward,HIFK (Finland),671.0,443.0,,1114.0,SM-liiga
2010,Defence,Moose Jaw Warriors (WHL),66.0,5.0,,71.0,WHL
2010,Goalie,USNDT (USA),135.0,2.0,71.0,137.0,USDP
2010,Defence,Windsor Spitfires (OHL),811.0,366.0,,1177.0,OHL
2010,Defence,Moncton Wildcats (QMJHL),58.0,5.0,,63.0,QMJHL
2010,Forward,Tri-City Storm (USHL),597.0,408.0,,1005.0,USHL
2010,Defence,USNDT (USA),407.0,79.0,,486.0,USDP
2010,Forward,Sibir Novosibirks (Russia),606.0,524.0,,1130.0,KHL
2010,Forward,Owen Sound Attack (OHL),13.0,2.0,,15.0,OHL
2010,Forward,Peterborough Petes (OHL),407.0,103.0,,510.0,OHL
2010,Forward,Blaine HS (High-MN),540.0,237.0,,777.0,High School
2010,Forward,Pentiction (BCHL),200.0,64.0,,264.0,BCHL
2010,Forward,Notre Dame (CCHA),635.0,194.0,,829.0,NCAA
2010,Defence,USNDT (USA),109.0,13.0,,122.0,USDP
2010,Defence,Edmonton Oil Kings (WHL),521.0,104.0,,625.0,WHL
2010,Forward,Noble & Greenough School (High-MA),553.0,332.0,,885.0,High School
2010,Forward,Moose Jaw Warriors (WHL),97.0,17.0,,114.0,WHL
2010,Forward,Traktor Chelyabinsk (Russia),599.0,496.0,,1095.0,KHL
2010,Goalie,Niagara IceDogs (OHL),1.0,0.0,0.0,1.0,OHL
2010,Forward,South Shore (EJHL),703.0,345.0,,1048.0,
2010,Forward,Medicine Hat Tigers (WHL),173.0,46.0,,219.0,WHL
2010,Forward,Warroad HS (High-MN),676.0,387.0,,1063.0,High School
2010,Forward,Minnesota State (WCHA),325.0,89.0,,414.0,
2010,Forward,Sudbury Wolves (OHL),3.0,0.0,,3.0,OHL
2010,Forward,Ottawa 67's (OHL),1.0,0.0,,1.0,OHL
2010,Defence,Red Deer Rebels (WHL),263.0,50.0,,313.0,WHL
2010,Defence,USNDT (USA),760.0,346.0,,1106.0,USDP
2010,Defence,USNDT (USA),474.0,86.0,,560.0,USDP
2010,Forward,Kelowna Rockets (WHL),17.0,3.0,,20.0,WHL
2010,Forward,Oshawa Generals (OHL),27.0,3.0,,30.0,OHL
2010,Defence,AIK (Sweden-2),429.0,65.0,,494.0,Allsvenskan
2010,Forward,Mississauga St. Michael's Majors (OHL),395.0,101.0,,496.0,OHL
2010,Forward,Peterborough Petes (OHL),325.0,167.0,,492.0,OHL
2010,Defence,HK Orange 20 (Slovakia),227.0,34.0,,261.0,Tipos Extraliga
2010,Forward,Ottawa 67's (OHL),651.0,393.0,,1044.0,OHL
2010,Forward,Saskatoon Blades (WHL),1.0,0.0,,1.0,WHL
2010,Goalie,Seattle Thunderbirds (WHL),116.0,3.0,35.0,119.0,WHL
2010,Forward,Des Moines Buccaneers (USHL),81.0,21.0,,102.0,USHL
2010,Forward,Brynas IF (Sweden),574.0,241.0,,815.0,SHL
2010,Defence,Cretin-Derham Hall (High-MN),20.0,0.0,,20.0,High School
2010,Defence,Minnetonka HS (High-MN),205.0,64.0,,269.0,High School
2010,Forward,Rimouski Oceanic (QMJHL),3.0,2.0,,5.0,QMJHL
2010,Forward,Brynas IF Jr. (Sweden Jr.),488.0,132.0,,620.0,J20 Nationell
2010,Forward,Skelleftea AIK (Sweden),252.0,79.0,,331.0,SHL
2010,Goalie,Everett Silvertips (WHL),1.0,0.0,,1.0,WHL
2010,Forward,USNDT (USA),550.0,290.0,,840.0,USDP
2010,Defence,USNDT (USA),167.0,33.0,,200.0,USDP
2010,Forward,Erie Otters (OHL),233.0,39.0,,272.0,OHL
2010,Forward,Kootenay Ice (WHL),23.0,5.0,,28.0,WHL
2010,Defence,Everett Silvertips (WHL),610.0,147.0,,757.0,WHL
2010,Defence,Harvard (ECAC),10.0,2.0,,12.0,
2010,Forward,Regina Pats (WHL),218.0,69.0,,287.0,WHL
2010,Forward,Shawinigan Cataractes (QMJHL),113.0,22.0,,135.0,QMJHL
2010,Forward,USNDT (USA),424.0,270.0,,694.0,USDP
2010,Goalie,Plymouth Whalers (OHL),77.0,0.0,23.0,77.0,OHL
2010,Forward,Saint John Sea Dogs (QMJHL),26.0,4.0,,30.0,QMJHL
2010,Defence,Newmarket (OJHL),30.0,2.0,,32.0,
2010,Forward,Lewiston MAINEiacs (QMJHL),182.0,22.0,,204.0,QMJHL
2010,Forward,AIK Jr. (Sweden Jr.),444.0,75.0,,519.0,J20 Nationell
2010,Forward,Vancouver Giants (WHL),63.0,8.0,,71.0,WHL
2010,Forward,Karpat (Finland),474.0,208.0,,682.0,SM-liiga
2010,Defence,Wisconsin (WCHA),2.0,0.0,,2.0,
2010,Defence,Kiekko-Vantaa Jr. (Finland Jr.),142.0,17.0,,159.0,SM-liiga
2010,Forward,Windsor Spitfires (OHL),3.0,0.0,,3.0,OHL
2010,Forward,Sodertalje SK Jr. (Sweden Jr.),226.0,64.0,,290.0,J20 Nationell
2010,Goalie,Ilves Jr. (Finland Jr.),2.0,0.0,0.0,2.0,SM-liiga
2010,Forward,USNDT (USA),1.0,0.0,,1.0,USDP
2010,Forward,Landshut (Germany-2),232.0,54.0,,286.0,
2010,Forward,Jokerit Jr. (Finland Jr.),83.0,22.0,,105.0,SM-liiga
2010,Goalie,Windsor Spitfires (OHL),269.0,4.0,127.0,273.0,OHL
2010,Defence,Skelleftea AIK Jr. (Sweden Jr.),45.0,2.0,,47.0,J20 Nationell
2010,Defence,Cape Breton Screaming Eagles (QMJHL),3.0,0.0,,3.0,QMJHL
2010,Forward,Gatineau Olympiques (QMJHL),89.0,17.0,,106.0,QMJHL
2010,Goalie,Medicine Hat Tigers (WHL),1.0,0.0,0.0,1.0,WHL
2010,Forward,South Shore (EJHL),359.0,63.0,,422.0,
2010,Forward,Hamilton (OJHL),421.0,239.0,,660.0,
2010,Forward,Niagara IceDogs (OHL),75.0,6.0,,81.0,OHL
2010,Defence,Frolunda HC Jr. (Sweden Jr.),552.0,374.0,,926.0,J20 Nationell
2010,Defence,Sodertalje SK (Sweden),105.0,29.0,,134.0,SHL
2010,Forward,Brandon Wheat Kings (WHL),335.0,134.0,,469.0,WHL
2010,Forward,Northern Michigan (CCHA),4.0,2.0,,6.0,NCAA
2010,Goalie,Quebec Remparts (QMJHL),142.0,2.0,59.0,144.0,QMJHL
2010,Forward,Delbarton School (High-NJ),86.0,30.0,,116.0,High School
2010,Goalie,Ottawa 67's (OHL),295.0,3.0,140.0,298.0,OHL
2010,Forward,Brampton Battalion (OHL),111.0,30.0,,141.0,OHL
2010,Forward,Vancouver Giants (WHL),638.0,381.0,,1019.0,WHL
2010,Defence,Sioux City Musketeers (USHL),109.0,13.0,,122.0,USHL
2010,Defence,Barrie Colts (OHL),264.0,38.0,,302.0,OHL
2010,Forward,HV71 Jr. (Sweden Jr.),550.0,200.0,,750.0,J20 Nationell
2010,Defence,Regina Pats (WHL),180.0,23.0,,203.0,WHL
2010,Goalie,Thief River Falls HS (High-MN),8.0,0.0,0.0,8.0,High School
2010,Defence,Indiana Ice (USHL),197.0,31.0,,228.0,USHL
2010,Forward,Niagara IceDogs (OHL),1.0,0.0,,1.0,OHL
2010,Forward,Brandon Wheat Kings (WHL),541.0,476.0,,1017.0,WHL
2010,Goalie,Frederikshavn (Denmark),445.0,13.0,261.0,458.0,
2010,Forward,Tri-City Americans (WHL),5.0,0.0,,5.0,WHL
2010,Forward,Ilves (Finland),2.0,1.0,,3.0,SM-liiga
2010,Forward,Kamloops Blazers (WHL),1.0,0.0,,1.0,WHL
2010,Defence,Lake Superior State (CCHA),91.0,13.0,,104.0,NCAA
2009,Forward,London Knights (OHL),949.0,895.0,,1844.0,OHL
2009,Defence,MODO Hockey (Sweden),898.0,603.0,,1501.0,SHL
2009,Forward,Brampton Battalion (OHL),905.0,688.0,,1593.0,OHL
2009,Forward,Vancouver Giants (WHL),812.0,545.0,,1357.0,WHL
2009,Forward,Brandon Wheat Kings (WHL),776.0,524.0,,1300.0,WHL
2009,Defence,Leksands IF (Sweden-2),848.0,417.0,,1265.0,Allsvenskan
2009,Forward,London Knights (OHL),739.0,512.0,,1251.0,OHL
2009,Forward,Brandon Wheat Kings (WHL),1.0,0.0,,1.0,WHL
2009,Defence,Spokane Chiefs (WHL),249.0,46.0,,295.0,WHL
2009,Forward,Timra IK (Sweden),467.0,124.0,,591.0,SHL
2009,Defence,Windsor Spitfires (OHL),566.0,275.0,,841.0,OHL
2009,Defence,Oshawa Generals (OHL),520.0,119.0,,639.0,OHL
2009,Forward,Peterborough Petes (OHL),610.0,201.0,,811.0,OHL
2009,Defence,Drummondville Voltigeurs (QMJHL),805.0,198.0,,1003.0,QMJHL
2009,Forward,Guelph Storm (OHL),266.0,85.0,,351.0,OHL
2009,Defence,Eden Priarie HS (High-MN),851.0,360.0,,1211.0,High School
2009,Defence,Skelleftea AIK (Sweden),113.0,25.0,,138.0,SHL
2009,Forward,Omaha Lancers (USHL),50.0,10.0,,60.0,USHL
2009,Forward,Phillips Andover Academy (High-MA),654.0,423.0,,1077.0,High School
2009,Forward,Djurgardens IF (Sweden),315.0,64.0,,379.0,SHL
2009,Defence,Chicago Steel (USHL),544.0,118.0,,662.0,USHL
2009,Forward,Minnesota (WCHA),165.0,42.0,,207.0,
2009,Defence,Skelleftea AIK (Sweden),93.0,14.0,,107.0,SHL
2009,C/W,Farjestad BK (Sweden),753.0,407.0,,1160.0,SHL
2009,Forward,Rimouski Oceanic (QMJHL),157.0,28.0,,185.0,QMJHL
2009,Forward,USNDT (USA),681.0,392.0,,1073.0,USDP
2009,Defence,Camrose (AJHL),124.0,22.0,,146.0,AJHL
2009,Forward,Lethbridge Hurricanes (WHL),54.0,3.0,,57.0,WHL
2009,Defence,Saint John Sea Dogs (QMJHL),193.0,43.0,,236.0,QMJHL
2009,Goalie,Blues (Finland),168.0,4.0,85.0,172.0,SM-liiga
2009,Forward,Red Deer Rebels (WHL),77.0,12.0,,89.0,WHL
2009,Forward,Erie Otters (OHL),938.0,672.0,,1610.0,OHL
2009,Forward,Frolunda HC Jr. (Sweden Jr.),12.0,1.0,,13.0,J20 Nationell
2009,Forward,Barrie Colts (OHL),751.0,143.0,,894.0,OHL
2009,Forward,USNDT (USA),23.0,3.0,,26.0,USDP
2009,Defence,Brampton Battalion (OHL),9.0,1.0,,10.0,OHL
2009,Forward,Des Moines Buccaneers (USHL),631.0,224.0,,855.0,USHL
2009,Forward,Brynas IF Jr. (Sweden Jr.),658.0,328.0,,986.0,J20 Nationell
2009,Forward,Timra IK (Sweden),215.0,35.0,,250.0,SHL
2009,Forward,USNDT (USA),98.0,26.0,,124.0,USDP
2009,Forward,USNDT (USA),82.0,22.0,,104.0,USDP
2009,Goalie,Frolunda HC Jr. (Sweden Jr.),364.0,6.0,152.0,370.0,J20 Nationell
2009,Defence,Saskatoon Blades (WHL),87.0,25.0,,112.0,WHL
2009,Defence,New Hampshire (EJHL),464.0,114.0,,578.0,
2009,Forward,HC Ocelari Trinec (Czech),521.0,195.0,,716.0,Tipsport Extraliga
2009,Forward,Brynas IF Jr. (Sweden Jr.),3.0,1.0,,4.0,J20 Nationell
2009,Defence,Lewiston MAINEiacs (QMJHL),189.0,55.0,,244.0,QMJHL
2009,Defence,Metallurg Novokuznetsk (Russia),643.0,237.0,,880.0,KHL
2009,Defence,Windsor Spitfires (OHL),1.0,0.0,,1.0,OHL
2009,Forward,Georgetown (OJHL),276.0,121.0,,397.0,
2009,Forward,HKM Zvolen (Slovakia),701.0,407.0,,1108.0,Tipos Extraliga
2009,Defence,Chicago Steel (USHL),13.0,0.0,,13.0,USHL
2009,Goalie,Lulea HF Jr. (Sweden Jr.),161.0,3.0,59.0,164.0,J20 Nationell
2009,Forward,Little Falls HS (High-MN),16.0,3.0,,19.0,High School
2009,Defence,Kelowna Rockets (WHL),683.0,435.0,,1118.0,WHL
2009,Forward,Blues Jr. (Finland Jr.),1.0,0.0,,1.0,SM-liiga
2009,Defence,Kootenay Ice (WHL),576.0,116.0,,692.0,WHL
2009,Forward,Plymouth Whalers (OHL),2.0,0.0,,2.0,OHL
2009,Forward,St. Michael's (OJHL),686.0,417.0,,1103.0,
2009,Forward,Guelph Storm (OHL),92.0,23.0,,115.0,OHL
2009,Forward,Guelph Storm (OHL),113.0,17.0,,130.0,OHL
2009,Defence,Djurgardens IF (Sweden),34.0,4.0,,38.0,SHL
2009,Forward,Victoriaville Tigres (QMJHL),128.0,48.0,,176.0,QMJHL
2009,Goalie,Plymouth Whalers (OHL),26.0,0.0,4.0,26.0,OHL
2009,Forward,USNDT (USA),1.0,0.0,,1.0,USDP
2009,Defence,Western Michigan (CCHA),360.0,80.0,,440.0,NCAA
2009,Defence,Rouyn-Noranda Huskies (QMJHL),506.0,85.0,,591.0,QMJHL
2009,Forward,Swift Current Broncos (WHL),701.0,256.0,,957.0,WHL
2009,Forward,Mississauga St. Michael's Majors (OHL),664.0,201.0,,865.0,OHL
2009,Defence,Moncton Wildcats (QMJHL),673.0,183.0,,856.0,QMJHL
2009,Goalie,Montreal Juniors (QMJHL),40.0,1.0,12.0,41.0,QMJHL
2009,Forward,Medicine Hat Tigers (WHL),138.0,44.0,,182.0,WHL
2009,Forward,Saginaw Spirit (OHL),50.0,7.0,,57.0,OHL
2009,Forward,Waterloo Black Hawks (USHL),789.0,398.0,,1187.0,USHL
2009,Defence,Miami (Ohio) (CCHA),245.0,72.0,,317.0,NCAA
2009,Defence,Mora IK (Sweden-2),662.0,250.0,,912.0,Allsvenskan
2009,Forward,Calgary Hitmen (WHL),1.0,0.0,,1.0,WHL
2009,Forward,Sudbury Wolves (OHL),678.0,251.0,,929.0,OHL
2009,Defence,JYP Jr. (Finland Jr.),473.0,200.0,,673.0,SM-liiga
2009,Forward,Owen Sound Attack (OHL),84.0,8.0,,92.0,OHL
2009,Forward,Windsor Spitfires (OHL),21.0,4.0,,25.0,OHL
2009,Defence,Sioux City Musketeers (USHL),50.0,4.0,,54.0,USHL
2009,Defence,Waterloo Black Hawks (USHL),9.0,3.0,,12.0,USHL
2009,Goalie,Saginaw Spirit (OHL),3.0,0.0,2.0,3.0,OHL
2009,Forward,Everett Silvertips (WHL),116.0,17.0,,133.0,WHL
2009,Defence,Guelph Storm (OHL),489.0,118.0,,607.0,OHL
2009,Defence,Lokomotiv Yaroslavl 2 (Russia-3),1.0,0.0,,1.0,
2009,Forward,HC Mountfield (Czech),84.0,19.0,,103.0,Tipsport Extraliga
2009,Forward,Edmonton Oil Kings (WHL),95.0,17.0,,112.0,WHL
2009,Forward,Drummondville Voltigeurs (QMJHL),612.0,430.0,,1042.0,QMJHL
2009,Forward,Baie-Comeau Drakkar (QMJHL),413.0,103.0,,516.0,QMJHL
2009,Forward,Okotoks (AJHL),52.0,12.0,,64.0,AJHL
2009,Forward,South Kent Prep (High-CT),15.0,2.0,,17.0,High School
2009,Forward,Drummondville Voltigeurs (QMJHL),90.0,9.0,,99.0,QMJHL
2009,Forward,London Knights (OHL),97.0,17.0,,114.0,OHL
2009,Forward,Djurgardens IF Jr. (Sweden Jr.),520.0,123.0,,643.0,J20 Nationell
2009,Defence,Green Bay Gamblers (USHL),407.0,91.0,,498.0,USHL
2009,Forward,Edina HS (High-MN),596.0,366.0,,962.0,High School
2009,Forward,USNDT (USA),31.0,3.0,,34.0,USDP
2009,Forward,Pentiction (BCHL),99.0,23.0,,122.0,BCHL
2009,Goalie,Red Deer Rebels (WHL),299.0,4.0,143.0,303.0,WHL
2009,Goalie,Miami (Ohio) (CCHA),2.0,1.0,0.0,3.0,NCAA
2009,Forward,Windsor Spitfires (OHL),24.0,1.0,,25.0,OHL
2009,Goalie,TPS Jr. (Finland Jr.),37.0,2.0,15.0,39.0,SM-liiga
2009,Forward,Windsor Spitfires (OHL),31.0,10.0,,41.0,OHL
2009,Forward,Regina Pats (WHL),1.0,0.0,,1.0,WHL
2009,Forward,Kitchener Rangers (OHL),27.0,6.0,,33.0,OHL
2009,Defence,KalPa Jr. (Finland Jr.),6.0,0.0,,6.0,SM-liiga
2009,Forward,Calgary Hitmen (WHL),20.0,4.0,,24.0,WHL
2009,Forward,Kelowna Rockets (WHL),5.0,0.0,,5.0,WHL
2009,Forward,Shattuck-St. Mary's School (High-MN),534.0,240.0,,774.0,High School
2009,Forward,Soo Greyhounds (OHL),375.0,52.0,,427.0,OHL
2009,Defence,St. Cloud State (WCHA),16.0,3.0,,19.0,
2009,Forward,Wenatchee Wild (NAHL),371.0,102.0,,473.0,NAHL
2009,Forward,Nepean (CJHL),2.0,0.0,,2.0,
2009,Defence,HV71 Jr. (Sweden Jr.),2.0,1.0,,3.0,J20 Nationell
2008,Forward,Sarnia Sting (OHL),922.0,972.0,,1894.0,OHL
2008,Defence,Guelph Storm (OHL),1014.0,567.0,,1581.0,OHL
2008,Defence,Peterborough Petes (OHL),737.0,208.0,,945.0,OHL
2008,Defence,Niagara IceDogs (OHL),879.0,517.0,,1396.0,OHL
2008,Defence,Kelowna Rockets (WHL),863.0,169.0,,1032.0,WHL
2008,Forward,CSKA Moskva 2 (Russia-3),53.0,14.0,,67.0,
2008,Forward,Boston University (H-East),632.0,286.0,,918.0,NCAA
2008,Forward,Kitchener Rangers (OHL),709.0,327.0,,1036.0,OHL
2008,Forward,Windsor Spitfires (OHL),993.0,555.0,,1548.0,OHL
2008,Forward,Brampton Battalion (OHL),328.0,142.0,,470.0,OHL
2008,Defence,Kelowna Rockets (WHL),840.0,325.0,,1165.0,WHL
2008,Defence,Regina Pats (WHL),24.0,1.0,,25.0,WHL
2008,Forward,Lethbridge Hurricanes (WHL),127.0,30.0,,157.0,WHL
2008,Defence,Frolunda HC Jr. (Sweden Jr.),838.0,660.0,,1498.0,J20 Nationell
2008,Forward,Camrose (AJHL),295.0,114.0,,409.0,AJHL
2008,Defence,Minnetonka HS (High-MN),645.0,277.0,,922.0,High School
2008,Defence,Lethbridge Hurricanes (WHL),549.0,113.0,,662.0,WHL
2008,Defence,Oshawa Generals (OHL),736.0,262.0,,998.0,OHL
2008,Forward,Regina Pats (WHL),858.0,595.0,,1453.0,WHL
2008,Defence,Ottawa 67's (OHL),1.0,0.0,,1.0,OHL
2008,Forward,HV71 (Sweden),120.0,30.0,,150.0,SHL
2008,Forward,Windsor Spitfires (OHL),15.0,1.0,,16.0,OHL
2008,Forward,Medicine Hat Tigers (WHL),700.0,346.0,,1046.0,WHL
2008,Defence,Indiana Ice (USHL),887.0,593.0,,1480.0,USHL
2008,Forward,Severstal Cherepovets (Russia),111.0,22.0,,133.0,KHL
2008,Goalie,Guelph Storm (OHL),3.0,0.0,1.0,3.0,OHL
2008,Goalie,Brynas IF Jr. (Sweden Jr.),378.0,12.0,169.0,390.0,J20 Nationell
2008,Defence,Traktor Chelyabinsk (Russia),190.0,81.0,,271.0,KHL
2008,Forward,London Knights (OHL),15.0,3.0,,18.0,OHL
2008,Goalie,St. John's Fog Devils (QMJHL),353.0,4.0,168.0,357.0,QMJHL
2008,Forward,Chicoutimi Sagueneens (QMJHL),3.0,0.0,,3.0,QMJHL
2008,Defence,Wisconsin (WCHA),160.0,25.0,,185.0,
2008,Defence,SC Bern (Swiss),760.0,542.0,,1302.0,NL
2008,Forward,Sudbury Wolves (OHL),41.0,8.0,,49.0,OHL
2008,Defence,Roseau HS (High-MN),72.0,7.0,,79.0,High School
2008,Defence,Saint John Sea Dogs (QMJHL),8.0,0.0,,8.0,QMJHL
2008,Defence,Omaha Lancers (USHL),268.0,74.0,,342.0,USHL
2008,Defence,Westside (BCHL),602.0,264.0,,866.0,BCHL
2008,Forward,St. John's Fog Devils (QMJHL),90.0,26.0,,116.0,QMJHL
2008,Forward,Pentiction (BCHL),154.0,28.0,,182.0,BCHL
2008,Defence,Brandon Wheat Kings (WHL),47.0,4.0,,51.0,WHL
2008,Forward,Val-d'Or Foreurs (QMJHL),1.0,0.0,,1.0,QMJHL
2008,Forward,Sudbury Wolves (OHL),2.0,0.0,,2.0,OHL
2008,Defence,Mississauga St. Michael's Majors (OHL),37.0,9.0,,46.0,OHL
2008,Forward,Shattuck-St. Mary's School (High-MN),817.0,504.0,,1321.0,High School
2008,Defence,Moose Jaw Warriors (WHL),718.0,208.0,,926.0,WHL
2008,Forward,Rimouski Oceanic (QMJHL),52.0,5.0,,57.0,QMJHL
2008,Defence,Val-d'Or Foreurs (QMJHL),699.0,160.0,,859.0,QMJHL
2008,Forward,Lincoln Stars (USHL),334.0,109.0,,443.0,USHL
2008,Forward,Tappara (Finland),307.0,111.0,,418.0,SM-liiga
2008,Defence,Rouyn-Noranda Huskies (QMJHL),45.0,7.0,,52.0,QMJHL
2008,Defence,Belleville Bulls (OHL),1.0,0.0,,1.0,OHL
2008,Defence,Calgary Hitmen (WHL),504.0,134.0,,638.0,WHL
2008,Defence,Soo Greyhounds (OHL),42.0,2.0,,44.0,OHL
2008,Forward,Lokomotiv Yaroslavl 2 (Russia-3),34.0,4.0,,38.0,
2008,Goalie,Barrie Colts (OHL),137.0,1.0,55.0,138.0,OHL
